ABSTRACT_ADJ-NOU  ˈæbˌstɹækt
DECREASE_VRB  dɪˈkɹis
DEFECT_NOU  ˈdifɛkt
DEFECT_VRB  dɪˈfɛkt
DEGENERATE_ADJ-NOU  dɪˈdʒɛnɚət
DEGENERATE_VRB  dɪˈdʒɛnɚˌeɪt
DELEGATE_NOU  ˈdɛləɡət
DELEGATE_VRB  ˈdɛləˌɡeɪt
DELIBERATE_ADJ  dɪˈlɪbɚət
DELIBERATE_VRB  dɪˈlɪbɚˌeɪt
DESERT_NOU  ˈdɛzɚt
DESERT_VRB  dɪˈzɝt
DEVIATE_NOU  ˈdiˌviət
DEVIATE_VRB  ˈdiviˌeɪt
DIAGNOSES_NOU  ˌdaɪəɡˈnoʊsiz
DIAGNOSES_VRB  ˌdaɪəɡˈnoʊsəz
DIFFUSE_ADJ  dɪfˈjus
DIFFUSE_VRB  dɪfˈjuz
DISCARD_NOU  ˈdɪsˌkɑɹd
DISCARD_VRB  dəsˈkɑɹd
DISCHARGE_NOU  ˈdɪsˌtʃɑɹdʒ
DISCHARGE_VRB  dɪsˈtʃɑɹdʒ
DISCOUNT_NOU  ˈdɪskaʊnt
DISCOUNT_VRB  dɪˈskaʊnt
DOCUMENT_NOU  ˈdɑkjumɛnt
DOCUMENT_VRB  ˈdɑkjəmɛnt
DOVE  ˈdʌv
DOVE_VRB  ˈdoʊv
DUPLICATE_ADJ-NOU  ˈdupləkət
DUPLICATE_VRB  ˈdupləˌkeɪt
ELABORATE_ADJ  ɪˈlæbɹət
ELABORATE_VRB  ɪˈlæbɚˌeɪt
ENTRANCE_NOU  ˈɛntɹəns
ENTRANCE_VRB  əˈntɹæns
ESCORT_NOU  ˈɛskɔɹt
ESCORT_VRB  ɛˈskɔɹt
ESTIMATE_NOU  ˈɛstəmət
ESTIMATE_VRB  ˈɛstəˌmeɪt
EXCUSE_NOU  ɪkˈskjus
EXCUSE_VRB  ɪkˈskjuz
EXPATRIATE_NOU  ɛkˈspeɪtɹiət
EXPATRIATE_VRB  ɛkˈspeɪtɹiˌeɪt
EXPLOIT_NOU  ˈɛksˌplɔɪt
EXPLOIT_VRB  ˌɛksˈplɔɪt
EXPORT_NOU  ˈɛkspɔɹt
EXPORT_VRB  əkˈspɔɹt
EXPOSE_NOU  ˌɛkˌspoʊˈzeɪ
EXPOSE_VRB  ɪkˈspoʊz
EXTRACT_NOU  ˈɛkˌstɹækt
EXTRACT_VRB  ɪkˈstɹækt
FRAGMENT_NOU  ˈfɹæɡmənt
FRAGMENT_VRB  ˌfɹæɡˈmɛnt
FREQUENT_ADJ  ˈfɹikwənt
FREQUENT_VRB  ˌfɹiˈkwɛnt
GRADUATE_ADJ-NOU  ˈɡɹædʒuwət
GRADUATE_VRB  ˈɡɹædʒuˌeɪt
HOUSE_NOU  ˈhaʊs
HOUSE_VRB  ˈhaʊz
IMPACT_NOU  ˈɪmpækt
IMPACT_VRB  ˌɪmˈpækt
IMPLANT_NOU  ˈɪmˌplænt
IMPLANT_VRB  ˌɪmˈplænt
IMPLEMENT_NOU  ˈɪmpləmənt
IMPLEMENT_VRB  ˈɪmpləˌmɛnt
IMPORT_NOU  ˈɪmˌpɔɹt
IMPORT_VRB  ˌɪmˈpɔɹt
INCENSE_NOU  ˈɪnˌsɛns
INCENSE_VRB  ˌɪnˈsɛns
INCLINE_NOU  ˈɪnklaɪn
INCLINE_VRB  ˌɪnˈklaɪn
INCREASE_NOU  ˈɪnˌkɹis
INCREASE_VRB  ˌɪnˈkɹis
INCREMENT_NOU  ˈɪnkɹəmənt
INCREMENT_VRB  ˈɪnkɹəˌmɛnt
INITIATE_NOU  əˈnɪˌʃiət
INITIATE_VRB  ˌɪˈnɪʃiˌeɪt
INSERT_NOU  ˈɪnˌsɝt
INSERT_VRB  ˌɪnˈsɝt
INSTRUMENT_NOU  ˈɪnstɹəmənt
INSTRUMENT_VRB  ˈɪnstɹəˌmɛnt
INSULT_NOU  ˈɪnˌsʌlt
INSULT_VRB  ˌɪnˈsʌlt
INTERCHANGE_NOU  ˈɪntɚˌtʃeɪndʒ
INTERCHANGE_VRB  ˌɪntɚˈtʃeɪndʒ
INTIMATE_ADJ  ˈɪntəmət
INTIMATE_VRB  ˈɪntɪˌmeɪt
INTRIGUE_NOU  ˈɪntɹiɡ
INTRIGUE_NOU-VRB  ˌɪnˈtɹiɡ
INVALID_ADJ  ˌɪnˈvæləd
INVALID_NOU  ˈɪnvələd
INVERT_ADJ-NOU  ˈɪnvɝt
INVERT_VRB  ˌɪnˈvɝt
INVITE_NOU  ˈɪnˌvaɪt
INVITE_VRB  ˌɪnˈvaɪt
ISOLATE_NOU  ˈaɪsələt
ISOLATE  ˈaɪsəˌleɪt
JESUS  ˈdʒizəs
JESUS_ES  ˌheɪˈsus
JOB_BIBLE  ˈdʒoʊb
JOB  ˈdʒɑb
LAMINATE_NOU  ˈlæmənət
LAMINATE_VRB  ˈlæməˌneɪt
LEAD_NOU  ˈlɛd
LEAD_NOU-VRB  ˈlid
LEARNED_ADJ  ˈlɝnɪd
LEARNED_VRB  ˈlɝnd
LIVE_ADJ  ˈlaɪv
LIVE_VRB  ˈlɪv
LIVES_NOU  ˈlaɪvz
LIVES_VRB  ˈlɪvz
MATE_NOU  ˈmɑˌteɪ
MATE  ˈmeɪt
MINUTE_ADJ  maɪˈnut
MINUTE  ˈmɪnət
MISUSE_NOU  mɪsˈjus
MISUSE_VRB  mɪsˈjuz
MOBILE  ˈmoʊbəl
MOBILE_GEO  ˌmoʊˈbil
MOBILE_NOU-ART  ˈmoʊˌbil
MODERATE_ADJ-NOU  ˈmɑdɚət
MODERATE_VRB  ˈmɑdɚˌeɪt
MOPED_NOU  ˈmoʊpɛd
MOPED_VRB  ˈmoʊpt
MOUTH_NOU  ˈmaʊθ
MOUTH_VRB  ˈmaʊð
NESTLE_NAM  ˈnɛsˈli
NESTLE_VRB  ˈnɛsəl
OBJECT_NOU  ˈɑbdʒɛkt
OBJECT_VRB  əbˈdʒɛkt
ORNAMENT_NOU  ˈɔɹnəmənt
ORNAMENT_VRB  ˌɔɹnəˈmɛnt
OVERTHROW_NOU  ˈoʊvɚˌθɹoʊ
OVERTHROW_VRB  ˌoʊvɚˈθɹoʊ
PASTY_ADJ  ˈpeɪˌsti
PASTY_NOU  ˈpæsˌti
PERFECT_ADJ  ˈpɝˌfɪkt
PERFECT_VRB  pɚˈfɛkt
PERFUME_NOU  ˈpɝˌfjum
PERFUME_VRB  pɚˈfjum
PERMIT_NOU  ˈpɝˌmɪt
PERMIT_VRB  pɚˈmɪt
PERVERT_NOU  ˈpɝvɚt
PERVERT_VRB  pɚˈvɝt
PIGMENT_NOU  ˈpɪɡmɛnt
PIGMENT_VRB  pəɡˈmɛnt
POLISH_GEO  ˈpoʊlɪʃ
POLISH  ˈpɑlɪʃ
POSTULATE_NOU  ˈpɑstʃələt
POSTULATE_VRB  ˈpɑstʃəˌleɪt
PRECIPITATE_ADJ-NOU  pɹəˈsɪpətət
PRECIPITATE_VRB  pɹɪˈsɪpɪˌteɪt
PREDICATE_NOU  ˈpɹɛdɪkət
PREDICATE_VRB  ˈpɹɛdəˌkeɪt
PRESENT_ADJ-NOU  ˈpɹɛzənt
PRESENT_VRB  pɹiˈzɛnt
PRODUCE_NOU  ˈpɹoʊdus
PRODUCE_VRB  pɹəˈdus
PROGRESS_NOU  ˈpɹɑˌɡɹɛs
PROGRESS_VRB  pɹəˈɡɹɛs
PROJECT_NOU  ˈpɹɑdʒɛkt
PROJECT_VRB  pɹɑˈdʒɛkt
PROTEST_NOU  ˈpɹoʊˌtɛst
PROTEST_VRB  pɹəˈtɛst
RAVEL_NAM  ɹəˈvɛl
RAVEL_NOU  ˈɹævəl
READING_EN  ˈɹidɪŋ
READING_GEO  ˈɹɛdɪŋ
READ_PAST  ˈɹɛd
READ_PRESENT  ˈɹid
REBEL_NOU  ˈɹɛbəl
REBEL_VRB  ɹɪˈbɛl
RECORD_NOU  ˈɹɛkɚd
RECORD_VRB  ɹəˈkɔɹd
RECOUNT_NOU  ˈɹiˌkaʊnt
RECOUNT_VRB  ˌɹiˈkaʊnt
REFUND_NOU  ˈɹiˌfʌnd
REFUND_VRB  ɹɪˈfʌnd
REFUSE_NOU  ˈɹɛfˌjuz
REFUSE_VRB  ɹəfˈjuz
REJECT_NOU  ˈɹidʒɛkt
REJECT_VRB  ɹɪˈdʒɛkt
RERELEASE  ˈɹiɹəˌlis
RERELEASE_VRB  ˌɹiɹəˈlis
RESUME_NOU  ˈɹɛzəˌmeɪ
RESUME_VRB  ɹiˈzum
RETARD_NOU  ˈɹitɑɹd
RETARD_VRB  ɹɪˈtɑɹd
RODEO_GEO  ˌɹoʊˈdeɪˌoʊ
RODEO  ˈɹoʊdiˌoʊ
ROW_1  ˈɹoʊ
ROW_2  ˈɹaʊ
SAKE_JP  ˈsɑˌkeɪ
SAKE  ˈseɪk
SEPARATE_ADJ  ˈsɛpɚɪt
SEPARATE_VRB  ˈsɛpɚˌeɪt
SOW_NOU  ˈsaʊ
SOW  ˈsoʊ
SUBJECT_ADJ-NOU  ˈsʌbdʒɪkt
SUBJECT_VRB  səbˈdʒɛkt
SUBORDINATE_ADJ-NOU  səˈbɔɹdənət
SUBORDINATE_VRB  səˈbɔɹdəˌneɪt
SUPPLEMENT_NOU  ˈsʌpləmənt
SUPPLEMENT_VRB  ˈsʌpləmənt
SUSPECT_ADJ-NOU  ˈsʌsˌpɛkt
SUSPECT_VRB  səˈspɛkt
SYNDICATE_NOU  ˈsɪndɪkət
SYNDICATE_VRB  ˈsɪndəˌkeɪt
TEAR_NOU  ˈtɪɹ
TEAR_VRB  ˈtɛɹ
TRANSFORM_NOU  ˈtɹænsfɔɹm
TRANSFORM  tɹænsˈfɔɹm
TRANSPLANT_NOU  ˈtɹænsˌplænt
TRANSPLANT_VRB  tɹænsˈplænt
TRANSPORT_NOU  ˈtɹænspɔɹt
TRANSPORT_VRB  tɹænˈspɔɹt
UPSET_NOU  ˈʌpˌsɛt
UPSET_VRB  əpˈsɛt
USES_NOU  ˈjusəz
USES_VRB  ˈjuzəz
USE_NOU  ˈjus
USE_VRB  ˈjuz
WIND_NOU  ˈwɪnd
WIND_VRB  ˈwaɪnd
WINDS_NOU  ˈwɪndz
WINDS_VRB  ˈwaɪndz
WOUND_NOU-VRB  ˈwund
WOUND_VRB  ˈwaʊnd
