sentence	label
find me the flights that are nonstop between boston and dallas that leave between 12 and 2 in the afternoon	14
i would like some information on flights leaving boston to atlanta	14
show me the latest nonstop flight from denver to washington dc	14
what are the flights from dallas to baltimore	14
i would like a nonstop flight from new york to las vegas on march second	14
no i want to go from denver to oakland	14
show me all the night fares between philadelphia and san francisco	3
what kinds of ground transportation is available in dallas fort worth	21
can you show me economy class one way fares for flights from oakland to dallas on december sixteenth	3
what is fare code qw	0
i 'd like a flight on july ninth from orlando to kansas city in the afternoon	14
what are the coach fares from charlotte to la wednesday night	3
is there ground transportation available in denver	21
show me flights from philadelphia to oakland on friday	14
i would like to know the flights available from boston to denver arriving in denver by 8 o'clock wednesday morning	14
i would like to fly the cheapest rate available from pittsburgh to atlanta on wednesday morning	14
list the flight from philadelphia to san francisco on american airlines	14
flights from memphis to las vegas on sunday	14
what is the first flight from atlanta to boston on thursday september fifth that leaves after 8 am	14
what is the first class fare on united flight 352 from denver to boston	3
flight from philadelphia to dallas arriving before 4 pm on saturday	14
list flights tomorrow from san diego to phoenix	14
show me all flights from san francisco to washington dc area	14
sure i want to go from philadelphia to dallas	14
show me all the united airlines flights leaving dallas	14
can you list all the flights between phoenix and las vegas	14
list all flights from baltimore to philadelphia	14
round trip flights from minneapolis to san diego coach economy fare	14
i want to fly from boston to denver and i don 't want any stopovers and i 'd like to fly only during the afternoon	14
flights from denver to baltimore between 10 am and 2 pm	14
show me the flights from denver to atlanta	14
what flights are there on delta from boston to dallas	14
what kind of ground transportation can you offer me in seattle	21
leaving washington going to san francisco the latest flight	14
show me the flights available from atlanta to baltimore leaving atlanta in the morning	14
round trip fares new york to san jose	3
which flights are serviced by american airlines	14
how do i get from pittsburgh airport to downtown pittsburgh	14
does midwest express serve charlotte	14
what flights from houston to milwaukee on friday in the evening on american airlines	14
what is the earliest flight going from san francisco to dallas on monday august nineteenth	14
what flights from atlanta to st. louis on tuesday arriving around 230 pm	14
i need a flight from kansas city to chicago that leaves wednesday and arrives in chicago around 7 pm	14
i would like information on any flights from pittsburgh to san francisco leaving thursday evening	14
i need a cheap flight from baltimore to san francisco	14
what is the cost of a first class ticket from baltimore to dallas	3
what is the economy thrift fare from boston to washington	3
list the nonstop flights early tuesday morning from dallas to atlanta	14
what is the earliest flight you have that leaves philadelphia to dallas	14
are there any flights from dallas fort worth to boston leaving before 10 am	14
show me all the flights to baltimore after 6 o'clock pm	14
i need a return flight from philadelphia to boston	14
united airlines flights stopping in denver before noon	14
show me the car rentals in baltimore	21
what flights go from newark to boston after 1024 in the morning	14
shortest evening flight from tampa to cincinnati	14
how much time does it take to go between the airport and downtown by ground transportation in dallas	21
flights from boston to pittsburgh	14
i 'd like to fly continental airlines between boston and philadelphia	14
i would like to book a flight on continental airlines from chicago to seattle on june first	14
all flights from pittsburgh to dallas round trip after 12 pm less than 100	14
show me flights on sunday going from san francisco to boston nonstop first class leaving after 12 noon	14
from las vegas to phoenix	14
show me flights from pittsburgh to atlanta on monday afternoon	14
show me the flight with the smallest seating capacity which leaves pittsburgh and arrives in baltimore on june fourteenth	14
show all flights from boston to denver on july thirty first	14
are there any flights before 12 noon on june fifteenth from long beach to columbus	14
list daily flights from boston to atlanta	14
on a flight from san francisco to atlanta that leaves before 8 am is there such a flight	14
on united airlines give me the flight times from boston to dallas	19
ground transportation minneapolis	21
show me airline abbreviations	6
how many flights does delta have with a class of service code f	24
please list all the arriving and departing flights from general mitchell international	14
i would like to see the flights from denver to philadelphia please	14
does eastern airlines fly early in the morning between logan and bwi	14
what flights leave phoenix on american airlines	14
can you list all the airlines that have flights from boston to san francisco	6
flights from nashville to orlando daily	14
show me first class flights from pittsburgh to san francisco on friday	14
i need the earliest flight from denver to boston that serves dinner	14
from toronto to atlanta in the afternoon	14
please list the friday afternoon flights from san jose to dallas on american airlines	14
is there ground transportation in boston from the airport	21
show first flight from pittsburgh to atlanta on wednesday	14
i 'm sorry i wanted to fly twa is there a flight between oakland and boston with a stopover in dallas fort worth on twa	14
show me all flights from san francisco to la guardia nonstop	14
what flights are there from pittsburgh to los angeles	14
what kind of ground transportation is there in washington dc	21
what is the least expensive flight available from dallas fort worth to san francisco	14
what does the fare code f mean	0
what 's the most expensive way i can fly to washington	14
what flights from houston to milwaukee on friday on american airlines	14
what is the schedule of ground transportation from the airport in philadelphia into downtown	21
show me a list of flights from san francisco to boston for august thirtieth	14
show me the least expensive flight from miami to cleveland on sunday after noon	14
how much does it cost to go from downtown to logan airport	3
what flights are there from newark to tampa	14
i want a flight from philadelphia to dallas that at least has one stop	14
show flights from denver to oakland arriving between 12 and 1 o'clock	14
what is the fare from san francisco to dallas fort worth on delta flight 852	3
flights from newark new jersey to cleveland ohio	14
give me flights from denver to baltimore	14
show the flights from denver to san francisco	14
show me flights denver to washington dc on thursday	14
please list the thursday morning flights from st. louis to st. paul	14
what flight do you have from pittsburgh to san francisco on the morning of august twenty seventh	14
what are the flights from boston to atlanta	14
what flights from baltimore to san francisco arrive before 8 pm in san francisco	14
show me the flights from pittsburgh to san francisco for thursday night or friday	14
get me a first class flight on american to san francisco on tuesday next week	14
ground transportation in westchester county	21
what flights are there from atlanta to baltimore	14
i 'd like to fly from dallas to san francisco at approximately 615 pm	14
list the fares of us air flights from boston to philadelphia	3
list flights from phoenix to detroit on thursday june twenty fourth	14
what flights from miami to indianapolis on sunday	14
now show me the flights from memphis to cleveland	14
can you give me information on all the flights from san francisco no from pittsburgh to san francisco on monday	14
could you find me a flight from boston to san francisco that stops in denver	14
flights from cleveland to miami	14
give me the flights from pittsburgh to los angeles thursday evening	14
please list all of the flights leaving atlanta heading to baltimore after 8 pm wednesday and before 9 am thursday	14
show me flights from seattle to san francisco that leave after 5 pm	14
show me the flights that go from tacoma to miami	14
which airline can fly me from atlanta to denver to san francisco	6
are there any flights from denver to pittsburgh with stops in atlanta	14
list all the flights that arrive at general mitchell international	14
what is fare code h	0
what flights from salt lake city to new york city arrive next saturday before 6 pm	14
flights from nashville to seattle	14
show me fares from seattle to minneapolis	3
i need a flight from boston to san francisco via dallas fort worth	14
i 'd like an afternoon flight from atlanta to san francisco with a stopover in denver arriving i 'd say about mealtime	14
show me the most expensive one way flight from detroit to westchester county	14
show me the flights from baltimore to philadelphia	14
from denver to washington dc on monday november eleventh 1991	14
please list all the flights from boston to denver which serve meals	14
list aircraft types that fly between boston and san francisco	1
what does fare code qw mean	0
i 'm interested in a flight on american airlines from dallas to washington	14
give me flights from pittsburgh to baltimore	14
how much is a round trip fare from indianapolis to seattle	3
what is the cheapest flight from long beach to memphis	14
which airline provides business class flights	6
pittsburgh to denver	14
which airlines fly between boston and pittsburgh	6
list the flights arriving in atlanta from baltimore before noon on august fourth	14
give me the flights for american airline from philadelphia to dallas	14
i need a flight this sunday from miami to las vegas and i would prefer a morning flight	14
flights from boston to pittsburgh	14
which flights go from pittsburgh to atlanta in the evening	14
show me the fares from dallas to san francisco	3
give me american airlines flights from milwaukee to phoenix on saturday and on sunday	14
list all flights that leave from baltimore or denver or pittsburgh and arrive in philadelphia	14
show me the flights from baltimore to oakland	14
show me the earliest flight from denver to las vegas	14
show me flights from milwaukee to orlando on wednesday night	14
may i have a listing of flights from milwaukee to tacoma washington departing in the evening	14
what morning flights do you have between oakland and denver	14
i 'd like a flight from washington that stops in denver and goes on to san francisco	14
show me all flights from pittsburgh to baltimore tomorrow	14
all one way flights between boston and philadelphia	14
what flights go to san francisco from boston	14
what flights are there from san francisco to philadelphia daily with economy class	14
first flights from pittsburgh to atlanta on a thursday	14
show me the flights from baltimore to atlanta	14
tell me about flights from toronto to salt lake city leaving after 530 pm	14
show me the flights from indianapolis to orlando with round trip fares less than 1288	14
i need a flight from boston to pittsburgh that leaves early in the morning	14
what is the first flight from atlanta to baltimore that serves lunch	14
show me the flights from pittsburgh to baltimore	14
all flights from denver to philadelphia	14
oakland to philadelphia saturday	14
give me the earliest flight tomorrow on united airlines from st. petersburg to milwaukee	14
show me flights on monday from philadelphia to boston after 7 am	14
show me all the flights leaving baltimore	14
show me the flights from philadelphia to boston	14
is there a plane from boston to washington	1
i need to go from boston to atlanta and back in the same day find me the earliest flight from boston	14
what are flights between boston and pittsburgh on august tenth	14
what are the schedule of flights from boston to san francisco for august first	19
show me one way flights from milwaukee to orlando wednesday	14
show me all flights from pittsburgh to baltimore tomorrow which serve a meal	14
give me flights on american airlines from milwaukee to phoenix	14
show all flights from pittsburgh to san francisco	14
i wish to fly from boston to washington please find an airline for me	14
please list the flights from dallas fort worth to dc baltimore on july twenty third	14
which flights from memphis to tacoma also stop in los angeles	14
show me the flights on tuesday morning from charlotte to baltimore	14
i need 2 first class tickets from dallas fort worth to san francisco	3
are there any flights from philadelphia to dallas which stop in atlanta	14
flights to baltimore	14
what does mco stand for	0
what is the least expensive way to fly from philadelphia to san francisco	14
list all nonstop flights from los angeles to pittsburgh before 5 pm on tuesday	14
how many booking classes are there	24
flight numbers from columbus to minneapolis tomorrow	17
give me the continental flights from chicago to seattle on friday	14
what are the united airlines flights between baltimore and denver on august twelfth	14
show me the flights next tuesday between philadelphia and san francisco	14
find a flight on american airlines from boston to san francisco that makes a stopover in denver	14
show me the fares on all flights round trip from pittsburgh to oakland	3
what 's the difference between fare code q and fare code f	0
flights from cincinnati to salt lake city	14
ground transportation denver	21
show me flights from denver to washington dc on wednesdays	14
find a flight between denver and oakland the flight should be in the afternoon and arrive close to 5 pm the flight should be nonstop	14
show me all flights from atlanta to washington with prices	14
flights between new york and miami	14
please list the monday morning flights from kansas city to atlanta	14
list all american airlines flights from phoenix to milwaukee which arrive on wednesday after 4 pm	14
what round trip tickets are there from cleveland to miami on us air that arrive before 4 pm	3
i 'd like to go from boston to denver at 9 o'clock saturday night	14
show me the northwest flights from detroit to st. petersburg	14
what is the available ground transportation between the airport in denver and downtown	21
on may four atlanta to denver delta flight 257	14
show me all flights from indianapolis	14
which airlines have flights between philadelphia and pittsburgh	6
which are the flights from denver to baltimore or washington dc	14
list the number of flights leaving boston for dallas fort worth before 9 am in the morning	24
are there delta flights leaving atlanta	14
can you list all round trip flights from orlando to kansas city and then to minneapolis	14
i would like to find a flight from kansas city to salt lake city on delta and arriving at about 8 o'clock in the evening could you please tell me the aircraft and the flight number thank you	14
i would like a flight from washington to boston leaving at 230 on august twentieth	14
how much is a flight from washington to boston	3
show me all flights from orlando to san diego on a boeing 737	14
what flights are there on sunday from seattle to minneapolis	14
where is mco	11
show me all flights from pittsburgh to atlanta	14
which united airlines flight flies across this continent and leaves from boston goes to dallas and makes a stopover in philadelphia	14
list daily flights of united airline from denver to baltimore with first class service	14
show me flights from pittsburgh to atlanta on monday morning	14
all flights phoenix to sfo	14
i want to travel from washington dc to philadelphia on tuesday morning	14
what is the fare going from atlanta to boston one way on november seventh	3
is there a flight on american airlines from boston to denver	14
what flights are available from san francisco to pittsburgh on thursday evening	14
do you have an afternoon flight leaving in the afternoon going from boston to san francisco with a stopover in dallas	14
show the flights from pittsburgh to san francisco again on monday	14
show me a list of flights on american airlines from boston to dc on july twenty second	14
now i 'd like flights from philadelphia to pittsburgh leaving between 430 and 530 pm	14
what economy flights are available from dallas to baltimore on december seventeenth	14
please show me flights from san francisco to dallas	14
please show me all the flights from indianapolis to san diego tomorrow	14
what does flight code us mean	14
i would like a flight from denver to pittsburgh	14
what is the flight schedule of the f28 from pittsburgh to baltimore	19
looking for a flight from dc to minnesota	14
how many us air flights leave from washington	24
show me times for flights from san francisco to atlanta	19
what flights are there on wednesday evening or thursday morning from denver to sfo	14
how many flights go from dallas to baltimore on july nineteenth	24
could you show me all the flights from oakland to salt lake city	14
find me a flight from boston to san francisco with layover in denver on united	14
what flights are available between boston and washington arriving in washington at 630	14
show me the airlines between toronto and denver	6
what flights do you have between pittsburgh and atlanta	14
show me the flights from denver to westchester county	14
i need information for a flight from denver to atlanta	14
what is the cheapest flight from boston to atlanta	14
what is the cheapest flight from atlanta to pittsburgh one way	14
show me all overnight flights from washington dc to san francisco and list their fares	14
round trip flights between new york and miami	14
show me the one way flight from detroit to westchester county with the highest fare	14
what flights are there from newark to chicago on continental	14
i 'm trying to make a connection between denver and san francisco does delta airline fly between those two	14
what is the latest us air flight leaving philadelphia and returning to boston	14
what flights does us air have from san francisco to pittsburgh on tuesday	14
can i fly from boston to baltimore washington	14
what is mco	0
flights from las vegas to phoenix	14
i would like to leave around 7 o'clock in the morning	14
show me fares from baltimore to philadelphia	3
flights from memphis to seattle	14
please show me flights from pittsburgh to atlanta on wednesday morning serving breakfast	14
flights from atlanta august second	14
does american airlines fly from atlanta to philadelphia	14
yes i 'd like a flight from long beach to st. louis by way of dallas	14
i 'd like to know if you have any flights from denver to philadelphia	14
what are the cheapest one way flights from atlanta to denver	14
what is the first flight after 12 noon from washington for denver	14
how many delta flights leave from washington	24
now list for me only the united flights that flight from oakland to boston	14
from philadelphia to toronto	14
i am interested in a flight on american airlines from dallas to washington	14
what airplane types fly from pittsburgh to baltimore	1
what is the yn code	0
i would like the earliest morning flight from atlanta to philadelphia on wednesday morning	14
how many seats in a 100	9
may i have a listing of flights from long beach to columbus ohio on tuesday	14
what flights leave from phoenix to nashville on american airlines	14
show me all round trips from new york to miami leaving on tuesday	14
list all nonstop flights on sunday from tampa to charlotte	14
list all flights from burbank to denver	14
what are the round trip fares for flights from denver to philadelphia arriving after 1700 on continental	3
i 'd like to see flights from baltimore to atlanta	14
please show me the flights from las vegas to detroit on the twenty eighth	14
what is ord	0
what type of ground transportation is available between the airport and downtown san francisco	21
is the american flight 813 from boston to oakland a nonstop flight	14
give me the flights from washington dc to philadelphia for december second	14
show all connecting flights from pittsburgh to oakland	14
list daily flights from boston to oakland using twa	14
i would like the least expensive airfare flight on sunday to pittsburgh from san francisco	3
i need a flight from san diego to indianapolis leaving in the afternoon on tuesday	14
can you give me the evening flight on wednesday from washington to atlanta again	14
i would like to book a flight from los angeles to pittsburgh on june first	14
what flights from atlanta to washington	14
show me all flights direct only from boston to san francisco or oakland that arrive before 10 am local time	14
first class round trip airfare from indianapolis to memphis	3
flights from cincinnati to denver on american airlines	14
list all flights on continental leaving denver on sunday after 2134	14
show me all flights from charlotte	14
show me all nationair flights from toronto	14
what are the fares from newark to la monday and wednesday	3
show me flights from denver to atlanta on june sixteenth	14
please show me round trip tickets from denver to oakland	3
list all flights on united from san francisco to boston with fare code qx	14
how many flights does twa have in business class	24
list all flights going from boston to atlanta after 6 o'clock on wednesday and before 7 o'clock am on thursday	14
show me the flights to love field	14
show me flights from pittsburgh to philadelphia	14
show me the flights from philadelphia to atlanta	14
philadelphia to dallas arriving before 1 in the afternoon	14
i need a flight from tampa to montreal	14
please give me flights leaving san francisco and going to pittsburgh	14
what do you have from philadelphia to dallas on saturday morning	14
flight leaving from oakland to salt lake city	14
tell me about flights on american airlines from dallas fort worth to philadelphia on june twenty ninth	14
list all flights from boston to san francisco with the maximum number of stops	14
are there any flights from atlanta to denver	14
what are the flights dallas to boston on monday morning	14
show me flights leaving from denver colorado to pittsburgh pennsylvania on wednesdays after 5 pm	14
i need flight information between atlanta and boston	14
what are my choices of flights from las vegas to new york	14
what is the cheapest flight from boston to san francisco	14
on continental airlines any class service from san francisco to pittsburgh	14
find the cheapest flight from denver to atlanta with a stopover in pittsburgh	14
what are the lowest one way fares from atlanta to denver	3
are there any flights from boston to san francisco stopping in denver	14
flights from kansas city to cleveland on wednesday	14
how much is a round trip fare from memphis to seattle	3
show me the flights into love field	14
i 'd like to fly from philadelphia to dallas through atlanta	14
information on flights from pittsburgh to philadelphia	14
what flights does american airlines fly from philadelphia to dallas	14
i want to travel from kansas city to chicago round trip leaving wednesday june sixteenth arriving in chicago at around 7 o'clock in the evening and returning the next day arriving in kansas city at around 7 o'clock in the evening which airlines fly that route	14
i would like the time of all flights from san francisco to pittsburgh on sunday	19
show me ground transportation in dallas please	21
are there any nonstop flights leaving from denver arriving in baltimore on july seventh	14
how much does dl 746 cost	3
what is the earliest flight from boston to san francisco on american airlines	14
please list ground transport in san francisco	21
i need a flight from ontario to los angeles on a thursday	14
show me flights from all airports to love field	14
list the flights from pittsburgh to san francisco on thursday	14
what flights are available from denver to baltimore first class on united airlines arriving may seventh before noon	14
which airlines are represented in the database	6
which flight between pittsburgh and baltimore on july nineteenth has the smallest seating capacity	14
list all trans world airline flights from indianapolis to houston that arrive in houston between 1030 am and 1130 am	14
what flights are there from new york city to las vegas	14
is there ground transportation from san diego airport to the downtown area	21
shortest morning flights from cincinnati to tampa	14
what 's the last flight from houston to dallas	14
is there a flight from charlotte to newark on tuesday evening	14
what is airline us	6
what 's the lowest round trip fare from dallas to atlanta	3
find me the earliest flight from boston to atlanta on any day of the week	14
display all flights from boston to baltimore on july thirty first	14
economy fares new york to miami round trip	3
i need to fly from boston to denver on to san francisco and back	14
i wish to book a flight from pittsburgh to atlanta coach discount fare	14
show me flights to dallas from san francisco and atlanta and pittsburgh	14
tell me distance from orlando airport to the city	13
hi i need to get a flight from memphis to salt lake city departing before 10 am	14
what is the cheapest fare i can get from dallas to denver	3
i would like a flight from philadelphia to dallas arrive dallas about 12 noon	14
us air next wednesday from cleveland to miami	14
could you please find me the cheapest one way fare from boston to philadelphia	3
i 'd like a flight from detroit to st. petersburg for tuesday	14
return from miami to new york on tower air on saturdays	14
show me ground transportation in san francisco	21
please give me the earliest flight tomorrow from st. petersburg to milwaukee	14
i need ground transportation in dallas please show me what 's available	21
what 's fare code yn	0
the cheapest flights from atlanta to philadelphia that arrive after 12 pm on a tuesday	14
is there an early morning delta airlines flight between boston and washington	14
what flights from orlando to tacoma on saturday	14
show me all flights both direct and connecting from dallas fort worth to either san francisco or oakland that depart after 7 pm	14
give me flights from chicago to seattle on saturday morning	14
okay tell me what the earliest flight is that leaves between atlanta and denver	14
i want a flight from toronto to montreal that leaves early friday morning	14
what first class flights are available from denver to baltimore on july twenty fifth 1991	14
show me the airlines from love field	6
what 's the cheapest one way ticket from baltimore to atlanta	3
a first class flight on american to san francisco on tuesday in the next week	14
what airlines fly between boston and san francisco and stop in denver	6
what 're the flights from new york city to las vegas that arrive on a sunday	14
flights on friday from newark to tampa	14
flights from san francisco august one	14
how many stops on continental 1765 from boston to san francisco	24
on flight us air 2153 from san francisco to baltimore what time and what city does the plane stop in between	14
i need a flight from st. petersburg to charlotte which will get me into charlotte by 5 pm or as soon thereafter as possible	14
i want a one way ticket from dallas to baltimore	3
find me the latest flight leaving atlanta august seventh and arriving in denver	14
what 's the lowest one way fare from pittsburgh to denver	3
show me flights from los angeles to pittsburgh on monday evening	14
show me the flights from san francisco to washington dc	14
show me flights from pittsburgh to philadelphia	14
show me the shortest flight from boston to denver which arrives in denver wednesday before noon	14
what are the flights from orlando to kansas city	14
show me flights from san francisco to boston on thursday	14
sunday flights from new york city to las vegas	14
i need a flight from pittsburgh to new york leaving at 5 pm	14
what 's the smallest plane that flies from pittsburgh to baltimore on eight sixteen	1
give me the flights on december twenty seventh with the fares from indianapolis to orlando	14
show me all the us air flights leaving pittsburgh between 12 and 4 in the afternoon	14
i want a cheap from denver to atlanta	14
show all flights from miami to jfk	14
show me all flights from san francisco to pittsburgh on a monday	14
show me the earliest flight from boston to denver	14
i need a united airlines flight from denver to baltimore on saturday	14
what are the cheapest one way flights from denver to atlanta	14
all flights from boston to washington dc after 5 pm on november eleventh economy class	14
is there ground transportation in oakland	21
list united flights from denver to san francisco on wednesdays	14
what is the cheapest way to fly from denver to oakland	14
philadelphia to san francisco with one stop in dallas please	14
i would like to fly us air from orlando to cleveland in the late evening what do you have available	14
what does restriction ap 57 mean	0
what are the latest flights that i can take from baltimore to boston	14
list flights from philadelphia to san francisco via dallas	14
how much does the american airlines flight 71 from dallas to san francisco cost	3
all flights from boston to philadelphia which show up on tuesday afternoon	14
show me flights from new york to miami on a tuesday with a round trip fare less than 466 dollars	14
nonstop flights from seattle to denver	14
give me the flights and fares on december twenty seventh from indianapolis to orlando	15
what flights are available wednesday afternoon from denver to san francisco	14
what are the flights from tacoma to san jose also on tuesday the eighteenth of may	14
what 's the ground transportation like at pittsburgh	21
list daily flights from boston to oakland using united airlines	14
in the next two days i want to fly from nashville to san jose or to tacoma	14
how many flights does each airline have with business class service	24
what flights from st. paul to kansas city on friday with supper served	14
show flights from san francisco to denver on either wednesday the twenty third or thursday the twenty fourth	14
what are the flights available between 10 am and 3 pm between pittsburgh and fort worth	14
list all flights from memphis to seattle	14
airline code as	6
show me the flights from san francisco to boston	14
show me all flights from san diego to phoenix on a boeing 737	14
may i have a list of flights going from boston to denver on the twenty ninth of july	14
could you tell me the cheapest fare from atlanta to boston on thirty first of august	3
which united airlines flight flies from boston to san francisco and makes a stopover in philadelphia	14
what are the latest flights from boston to dallas on the evening of july seventh	14
can you tell me how to get from the airport in philadelphia to downtown	14
what is bna	0
now show me the flights from denver to atlanta	14
what is the cost of flight dl 106 from philadelphia to boston	3
what stops does dl 838 make from san francisco to atlanta	14
what are the cheapest round trip flights from denver to atlanta	14
what are the flights from atlanta to dallas	14
delta flights to san francisco please	14
i would like to know the latest flight on wednesday you have leaving from oakland to salt lake city which offers a meal	14
what are the costs of car rental in dallas	20
what airlines fly from boston to pittsburgh	6
can you tell me which flights go from memphis to tacoma and make a stop in los angeles	14
what is the cheapest round trip fare between boston and san francisco	3
show me ground transportation information for pittsburgh	21
all flights and fares from atlanta to dallas round trip after 12 pm less than 1100 dollars	15
what is the fare from boston to oakland on united airlines	3
show me the latest flight from salt lake city to phoenix	14
show me all the eastern airlines flights leaving pittsburgh between 12 and 4 in the afternoon	14
show me flights from denver to philadelphia	14
flights from newark to boston	14
what is the first flight from atlanta to boston leaving on thursday september fifth	14
all united airlines flights with stopovers in denver	14
show flights from boston to denver on wednesday morning	14
show me all the twa flights from indianapolis to houston that arrive around 11 am	14
